Time,RPM,Speed,nGear,Throttle,Brake,X,Y,Z,Distance
0 days 00:00:40.373000,10947,275,7,100,False,11021.378194657214,13676.697528469937,1932.127523682165,2740.2336111111126
0 days 00:00:40.424000,10979,275,7,99,False,11025.0,13640.0,1932.0,2744.129444444446
0 days 00:00:40.604000,11011,275,7,99,False,11040.0,13496.0,1933.0,2757.879444444446
0 days 00:00:40.693000,11043,276,7,99,False,11048.927376218222,13395.34882136673,1933.1940327122459,2764.7027777777794
0 days 00:00:40.844000,10752,268,7,53,False,11063.0,13218.0,1933.0,2775.943888888891
0 days 00:00:40.893000,10461,261,7,7,True,11065.934673310963,13176.68735689464,1932.9440176137402,2779.4963888888906
0 days 00:00:41.053000,10947,247,7,1,True,11069.693408812996,13100.624358483083,1932.8132858846552,2790.474166666668
0 days 00:00:41.284000,11067,236,7,1,True,11067.0,13033.0,1932.0,2805.6175000000017
0 days 00:00:41.294000,11187,225,6,1,True,11066.841783755675,13028.513395853966,1931.9305265292476,2806.2425000000017
0 days 00:00:41.504000,10809,218,6,4,True,11058.0,12907.0,1930.0,2818.9591666666684
0 days 00:00:41.533000,10432,211,6,7,True,11054.488784091021,12886.999462025133,1929.720329656938,2820.658888888891
0 days 00:00:41.744000,10335,203,6,8,True,11016.0,12741.0,1928.0,2832.5569444444463
0 days 00:00:41.773000,10239,196,5,9,False,11010.997268766958,12726.38831435172,1927.874627635702,2834.1358333333355
0 days 00:00:42.044000,10196,193,5,31,False,10966.0,12641.0,1928.0,2848.6644444444464
0 days 00:00:42.134000,10153,190,5,54,False,10944.509594215022,12606.864542982003,1928.3651501462339,2853.4144444444464
0 days 00:00:42.264000,10232,190,5,60,False,10898.0,12547.0,1929.0,2860.2755555555577
0 days 00:00:42.414000,10312,190,5,67,False,10806.002148019958,12463.611269501427,1929.629297166753,2868.1922222222242
0 days 00:00:42.544000,10574,190,5,73,False,10727.0,12400.0,1930.0,2875.053333333335
0 days 00:00:42.654000,10836,190,5,80,False,10682.493424555958,12365.871867653337,1930.135437134491,2880.858888888891
0 days 00:00:42.853000,10948,197,5,93,False,10644.005848013809,12343.265257005989,1929.9329133423228,2891.7486111111134
0 days 00:00:43.024000,11133,203,5,96,False,10562.0,12302.0,1929.0,2901.3911111111133
0 days 00:00:43.173000,11318,210,5,100,False,10433.87296351777,12235.813243804108,1927.5867975988338,2910.08277777778
0 days 00:00:43.244000,11035,214,5,100,False,10374.0,12205.0,1927.0,2914.3033333333356
0 days 00:00:43.565000,10752,218,5,100,False,10198.0,12117.0,1926.0,2933.7416666666686
0 days 00:00:43.653000,10470,222,6,100,False,10166.08105497987,12101.441977530916,1925.8211752002267,2939.1683333333353
0 days 00:00:43.925000,10662,228,6,100,False,10072.0,12054.0,1925.0,2956.395000000002
0 days 00:00:43.973000,10855,235,6,100,False,10047.909802830545,12041.062018651566,1924.761087856601,2959.5283333333355
0 days 00:00:44.165000,10968,237,6,99,False,9934.0,11979.0,1924.0,2972.1683333333353
0 days 00:00:44.173000,11081,240,6,99,False,9929.203049857922,11976.410209106463,1924.0059239007944,2972.7016666666686
0 days 00:00:44.404000,11194,242,6,99,False,9792.0,11903.0,1925.0,2988.2300000000023
0 days 00:00:44.453000,11308,244,6,100,False,9762.350131548392,11886.986601811335,1925.0270984917133,2991.551111111113
0 days 00:00:44.504000,11472,247,6,100,False,9731.0,11870.0,1925.0,2995.0502777777797
0 days 00:00:44.804000,11637,251,6,100,False,9542.0,11768.0,1925.0,3015.9669444444467
0 days 00:00:44.854000,11802,255,6,100,False,9513.858998536067,11753.179663033066,1924.9985900594118,3019.508611111113
0 days 00:00:45.053000,10682,260,6,100,False,9397.372900913606,11691.948742560431,1924.9852123187457,3033.8808333333354
0 days 00:00:45.104000,10715,262,6,100,False,9352.0,11667.0,1925.0,3037.592500000002
